holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,Date,Time,AM/PM,traffic_volume,Group
No Holiday,269.82,0,0,1,Clear,sky is clear,1/2/2016,12:00,PM,4236,8
No Holiday,272.08,0,0,1,Clear,sky is clear,1/2/2016,1:00,PM,4426,8
No Holiday,269.35,0,0,5,Clear,sky is clear,1/2/2016,9:00,PM,2649,12
No Holiday,269.15,0,0,75,Clouds,broken clouds,1/2/2016,10:00,PM,2552,12
No Holiday,269.56,0,0,90,Clouds,overcast clouds,1/2/2016,11:00,PM,1830,12
No Holiday,269.89,0,0,90,Clouds,overcast clouds,1/3/2016,12:00,AM,931,12
No Holiday,270.26,0,0,90,Clouds,overcast clouds,1/3/2016,1:00,AM,633,12
No Holiday,270.68,0,0,90,Clouds,overcast clouds,1/3/2016,11:00,AM,3286,17
No Holiday,270.96,0,0,90,Clouds,overcast clouds,1/3/2016,12:00,PM,3755,17
No Holiday,263.51,0,0,1,Clear,sky is clear,1/4/2016,2:00,AM,270,24
No Holiday,261.64,0,0,1,Mist,mist,1/4/2016,3:00,AM,410,24
No Holiday,260.54,0,0,1,Mist,mist,1/4/2016,5:00,AM,2672,25
No Holiday,259.91,0,0,1,Mist,mist,1/4/2016,6:00,AM,5532,25
No Holiday,259.25,0,0,90,Mist,mist,1/4/2016,7:00,AM,6234,25
No Holiday,259.25,0,0,90,Fog,fog,1/4/2016,7:00,AM,6234,25
No Holiday,258.93,0,0,1,Fog,fog,1/4/2016,8:00,AM,5670,25
No Holiday,258.93,0,0,1,Mist,mist,1/4/2016,8:00,AM,5670,25
No Holiday,261.23,0,0,75,Snow,light snow,1/4/2016,9:00,AM,4637,25
No Holiday,261.23,0,0,75,Mist,mist,1/4/2016,9:00,AM,4637,25
No Holiday,261.23,0,0,75,Fog,fog,1/4/2016,9:00,AM,4637,25
No Holiday,263.24,0,0,1,Mist,mist,1/4/2016,10:00,AM,4057,25
No Holiday,263.24,0,0,1,Snow,light snow,1/4/2016,10:00,AM,4057,25
No Holiday,265.88,0,0,1,Clear,sky is clear,1/4/2016,11:00,AM,4235,25
No Holiday,265.93,0,0,90,Mist,mist,1/4/2016,9:00,PM,1902,30
No Holiday,266.26,0,0,90,Clouds,overcast clouds,1/4/2016,10:00,PM,1389,30
No Holiday,266.21,0,0,90,Clouds,overcast clouds,1/5/2016,12:00,AM,489,31
No Holiday,266.66,0,0,90,Clouds,overcast clouds,1/5/2016,1:00,AM,351,31
No Holiday,268.43,0,0,90,Clouds,overcast clouds,1/5/2016,5:00,AM,2692,33
No Holiday,268.11,0,0,40,Clouds,scattered clouds,1/5/2016,6:00,AM,5734,33
No Holiday,267.86,0,0,40,Clouds,scattered clouds,1/5/2016,7:00,AM,6525,33
No Holiday,267.61,0,0,1,Clear,sky is clear,1/5/2016,8:00,AM,5762,33
No Holiday,268.29,0,0,1,Clear,sky is clear,1/5/2016,9:00,AM,4836,33
No Holiday,269.51,0,0,75,Clouds,broken clouds,1/5/2016,10:00,AM,4166,33
No Holiday,271.28,0,0,1,Clear,sky is clear,1/5/2016,12:00,PM,4671,34
No Holiday,271.83,0,0,40,Clouds,scattered clouds,1/5/2016,1:00,PM,4708,34
No Holiday,271.9,0,0,1,Clear,sky is clear,1/5/2016,2:00,PM,5188,34
No Holiday,269.59,0,0,90,Clouds,overcast clouds,1/5/2016,10:00,PM,1432,38
No Holiday,270.24,0,0,90,Clouds,overcast clouds,1/5/2016,11:00,PM,972,38
No Holiday,270.7,0,0,90,Clouds,overcast clouds,1/6/2016,12:00,AM,757,38
No Holiday,270.72,0,0,90,Clouds,overcast clouds,1/6/2016,1:00,AM,555,38
No Holiday,270.85,0,0,90,Clouds,overcast clouds,1/6/2016,2:00,AM,426,38
No Holiday,270.59,0,0,90,Clouds,overcast clouds,1/6/2016,3:00,AM,475,38
No Holiday,269.84,0,0,1,Clear,sky is clear,1/6/2016,4:00,AM,1007,38
No Holiday,269.3,0,0,1,Clear,sky is clear,1/6/2016,5:00,AM,2772,38
No Holiday,269.53,0,0,1,Clear,sky is clear,1/6/2016,6:00,AM,5765,38
No Holiday,269.64,0,0,1,Clear,sky is clear,1/6/2016,7:00,AM,6716,38
No Holiday,271.66,0,0,1,Clear,sky is clear,1/6/2016,11:00,AM,4568,40
No Holiday,272.56,0,0,90,Clouds,overcast clouds,1/6/2016,12:00,PM,4699,40
No Holiday,273.2,0.25,0,90,Rain,light rain,1/6/2016,1:00,PM,4889,40
No Holiday,273.26,0,0,90,Haze,haze,1/6/2016,5:00,PM,6071,42
No Holiday,273.26,0,0,90,Snow,light snow,1/6/2016,5:00,PM,6071,42
No Holiday,272.65,0,0,90,Snow,light snow,1/6/2016,7:00,PM,2815,43
No Holiday,272.65,0,0,90,Mist,mist,1/6/2016,7:00,PM,2815,43
No Holiday,272.47,0,0.25,90,Snow,light snow,1/6/2016,9:00,PM,2077,44
No Holiday,272.47,0,0.25,90,Mist,mist,1/6/2016,9:00,PM,2077,44
No Holiday,272.39,0,0,90,Mist,mist,1/6/2016,11:00,PM,926,45
No Holiday,272.39,0,0,90,Snow,light snow,1/6/2016,11:00,PM,926,45
No Holiday,272.39,0,0,90,Rain,light rain,1/6/2016,11:00,PM,926,45
No Holiday,272.54,0,0,75,Snow,light snow,1/7/2016,12:00,AM,558,45
No Holiday,272.54,0,0,75,Mist,mist,1/7/2016,12:00,AM,558,45
No Holiday,272.49,0,0,75,Snow,light snow,1/7/2016,1:00,AM,323,45
No Holiday,272.49,0,0,75,Mist,mist,1/7/2016,1:00,AM,323,45
No Holiday,272.54,0,0,40,Mist,mist,1/7/2016,2:00,AM,315,45
No Holiday,272.54,0,0,40,Snow,light snow,1/7/2016,2:00,AM,315,45
No Holiday,272.49,0,0,90,Mist,mist,1/7/2016,3:00,AM,524,45
No Holiday,272.49,0,0,90,Snow,light snow,1/7/2016,3:00,AM,524,45
No Holiday,272.49,0,0,90,Snow,light snow,1/7/2016,4:00,AM,1081,45
No Holiday,272.49,0,0,90,Mist,mist,1/7/2016,4:00,AM,1081,45
No Holiday,272.54,0,0,90,Mist,mist,1/7/2016,5:00,AM,2842,45
No Holiday,272.54,0,0,90,Snow,light snow,1/7/2016,5:00,AM,2842,45
No Holiday,272.59,0,0,90,Mist,mist,1/7/2016,7:00,AM,6270,46
No Holiday,272.59,0,0,90,Snow,light snow,1/7/2016,7:00,AM,6270,46
No Holiday,272.68,0,0,90,Rain,light rain,1/7/2016,9:00,AM,4839,47
No Holiday,272.68,0,0,90,Mist,mist,1/7/2016,9:00,AM,4839,47
No Holiday,272.68,0,0,90,Snow,light snow,1/7/2016,9:00,AM,4839,47
No Holiday,273.35,0,0,90,Mist,mist,1/7/2016,11:00,AM,4517,48
No Holiday,273.35,0,0,90,Snow,light snow,1/7/2016,11:00,AM,4517,48
No Holiday,273.74,0,0.06,90,Snow,light snow,1/7/2016,12:00,PM,4879,48
No Holiday,273.74,0,0.06,90,Mist,mist,1/7/2016,12:00,PM,4879,48
No Holiday,273.74,0,0,90,Mist,mist,1/7/2016,1:00,PM,4738,48
No Holiday,273.74,0,0,90,Snow,light snow,1/7/2016,1:00,PM,4738,48
No Holiday,273.8,0,0.06,90,Snow,light snow,1/7/2016,3:00,PM,5811,49
No Holiday,273.8,0,0.06,90,Mist,mist,1/7/2016,3:00,PM,5811,49
No Holiday,273.74,0,0.13,90,Mist,mist,1/7/2016,4:00,PM,6438,49
No Holiday,273.74,0,0.13,90,Snow,light snow,1/7/2016,4:00,PM,6438,49
No Holiday,273.68,0,0,90,Mist,mist,1/7/2016,7:00,PM,3099,50
No Holiday,273.68,0,0,90,Snow,light snow,1/7/2016,7:00,PM,3099,50
No Holiday,273.52,0,0.1,90,Snow,light snow,1/7/2016,11:00,PM,1241,52
No Holiday,273.52,0,0.1,90,Mist,mist,1/7/2016,11:00,PM,1241,52
No Holiday,273.35,0,0.06,75,Snow,snow,1/8/2016,12:00,AM,628,52
No Holiday,273.35,0,0.06,75,Mist,mist,1/8/2016,12:00,AM,628,52
No Holiday,273.35,0,0.06,75,Fog,fog,1/8/2016,12:00,AM,628,52
No Holiday,273.35,0,0.06,75,Rain,light rain,1/8/2016,12:00,AM,628,52
No Holiday,273.28,0,0.17,90,Snow,light snow,1/8/2016,1:00,AM,359,52
No Holiday,273.28,0,0.17,90,Mist,mist,1/8/2016,1:00,AM,359,52
No Holiday,273.28,0,0.17,90,Rain,light rain,1/8/2016,1:00,AM,359,52
No Holiday,273.22,0,0.08,90,Mist,mist,1/8/2016,3:00,AM,401,53
No Holiday,273.22,0,0.08,90,Snow,light snow,1/8/2016,3:00,AM,401,53
No Holiday,273.02,0,0,90,Mist,mist,1/8/2016,4:00,AM,815,53
No Holiday,273.02,0,0,90,Snow,light snow,1/8/2016,4:00,AM,815,53
No Holiday,273.08,0,0,90,Snow,light snow,1/8/2016,5:00,AM,2547,53
No Holiday,273.08,0,0,90,Mist,mist,1/8/2016,5:00,AM,2547,53
No Holiday,272.91,0,0,90,Mist,mist,1/8/2016,7:00,AM,5960,54
No Holiday,272.91,0,0,90,Snow,light snow,1/8/2016,7:00,AM,5960,54
No Holiday,272.98,0,0,90,Mist,mist,1/8/2016,9:00,AM,4749,55
No Holiday,272.98,0,0,90,Snow,light snow,1/8/2016,9:00,AM,4749,55
No Holiday,273.71,0,0,90,Mist,mist,1/8/2016,10:00,AM,4428,55
No Holiday,273.71,0,0,90,Snow,light snow,1/8/2016,10:00,AM,4428,55
No Holiday,273.92,0,0,90,Mist,mist,1/8/2016,12:00,PM,4879,56
No Holiday,273.92,0,0,90,Snow,light snow,1/8/2016,12:00,PM,4879,56
No Holiday,273.8,0,0.25,90,Snow,light snow,1/8/2016,1:00,PM,4933,56
No Holiday,273.8,0,0.25,90,Mist,mist,1/8/2016,1:00,PM,4933,56
No Holiday,273.67,0,0.13,90,Snow,light snow,1/8/2016,3:00,PM,5548,57
No Holiday,273.67,0,0.13,90,Mist,mist,1/8/2016,3:00,PM,5548,57
No Holiday,272.56,0,0,90,Snow,light snow,1/8/2016,5:00,PM,5982,58
No Holiday,272.56,0,0,90,Mist,mist,1/8/2016,5:00,PM,5982,58
No Holiday,271.33,0,0,90,Mist,mist,1/8/2016,7:00,PM,3233,59
No Holiday,271.33,0,0,90,Snow,light snow,1/8/2016,7:00,PM,3233,59
No Holiday,270.15,0,0,90,Haze,haze,1/8/2016,9:00,PM,2506,60
No Holiday,270.15,0,0,90,Mist,mist,1/8/2016,9:00,PM,2506,60
No Holiday,270.15,0,0,90,Snow,light snow,1/8/2016,9:00,PM,2506,60
No Holiday,268.64,0,0,90,Snow,light snow,1/8/2016,11:00,PM,1514,61
No Holiday,266.47,0,0,90,Clouds,overcast clouds,1/9/2016,12:00,AM,1107,61
No Holiday,264.72,0,0,90,Snow,light snow,1/9/2016,1:00,AM,690,61
No Holiday,263.8,0,0,90,Snow,light snow,1/9/2016,2:00,AM,480,61
No Holiday,258.99,0,0,90,Snow,light snow,1/9/2016,12:00,PM,4984,66
No Holiday,258.99,0,0,90,Haze,haze,1/9/2016,12:00,PM,4984,66
No Holiday,258.99,0,0,90,Mist,mist,1/9/2016,12:00,PM,4984,66
No Holiday,258.46,0,0,90,Snow,light snow,1/9/2016,2:00,PM,4570,67
No Holiday,258.46,0,0,90,Haze,haze,1/9/2016,2:00,PM,4570,67
No Holiday,249.22,0,0,1,Clear,sky is clear,1/10/2016,8:00,AM,1721,76
No Holiday,250.36,0,0,1,Clear,sky is clear,1/10/2016,9:00,AM,2779,76
No Holiday,251.15,0,0,1,Clear,sky is clear,1/10/2016,10:00,AM,3919,76
No Holiday,252.44,0,0,1,Clear,sky is clear,1/10/2016,11:00,AM,3973,76
No Holiday,253.08,0,0,1,Clear,sky is clear,1/10/2016,12:00,PM,3393,76
No Holiday,254.28,0,0,1,Clear,sky is clear,1/10/2016,1:00,PM,3258,76
No Holiday,248.88,0,0,75,Clouds,broken clouds,1/10/2016,11:00,PM,805,81
No Holiday,248.08,0,0,1,Clear,sky is clear,1/11/2016,12:00,AM,483,81
No Holiday,248.22,0,0,90,Mist,mist,1/11/2016,1:00,AM,269,81
No Holiday,248.22,0,0,90,Snow,light snow,1/11/2016,1:00,AM,269,81
No Holiday,248.51,0,0,1,Haze,haze,1/11/2016,3:00,AM,284,82
No Holiday,248.51,0,0,1,Mist,mist,1/11/2016,3:00,AM,284,82
No Holiday,248.51,0,0,1,Snow,light snow,1/11/2016,3:00,AM,284,82
No Holiday,248.22,0,0,1,Clear,sky is clear,1/11/2016,4:00,AM,830,82
No Holiday,248.42,0,0,1,Snow,light snow,1/11/2016,6:00,AM,4873,83
No Holiday,248.42,0,0,1,Haze,haze,1/11/2016,6:00,AM,4873,83
No Holiday,248.61,0,0,75,Haze,haze,1/11/2016,8:00,AM,5494,84
No Holiday,248.61,0,0,75,Snow,light snow,1/11/2016,8:00,AM,5494,84
No Holiday,250.99,0,0,40,Snow,light snow,1/11/2016,10:00,AM,3921,85
No Holiday,250.99,0,0,40,Mist,mist,1/11/2016,10:00,AM,3921,85
No Holiday,250.99,0,0,40,Haze,haze,1/11/2016,10:00,AM,3921,85
No Holiday,255.21,0,0,40,Snow,light snow,1/11/2016,11:00,AM,4135,85
No Holiday,257.75,0,0,90,Haze,haze,1/11/2016,3:00,PM,5540,87
No Holiday,257.75,0,0,90,Mist,mist,1/11/2016,3:00,PM,5540,87
No Holiday,258.3,0,0,40,Snow,light snow,1/11/2016,9:00,PM,1963,90
No Holiday,256.65,0,0,90,Snow,light snow,1/11/2016,10:00,PM,1215,90
No Holiday,256.65,0,0,90,Haze,haze,1/11/2016,10:00,PM,1215,90
No Holiday,256.36,0,0,20,Snow,light snow,1/12/2016,12:00,AM,484,91
No Holiday,256.36,0,0,20,Haze,haze,1/12/2016,12:00,AM,484,91
No Holiday,255.55,0,0,1,Snow,light snow,1/12/2016,1:00,AM,326,91
No Holiday,254.95,0,0,1,Snow,light snow,1/12/2016,3:00,AM,331,92
No Holiday,253.69,0,0,1,Clear,sky is clear,1/12/2016,4:00,AM,863,92
No Holiday,253.29,0,0,1,Clear,sky is clear,1/12/2016,5:00,AM,2577,92
No Holiday,252.35,0,0,1,Clear,sky is clear,1/12/2016,6:00,AM,5285,92
No Holiday,252.36,0,0,1,Clear,sky is clear,1/12/2016,10:00,AM,4070,94
No Holiday,254.42,0,0,1,Clear,sky is clear,1/12/2016,11:00,AM,4221,94
No Holiday,252.72,0,0,1,Clear,sky is clear,1/12/2016,11:00,PM,1049,100
No Holiday,252.14,0,0,1,Clear,sky is clear,1/13/2016,12:00,AM,655,100
No Holiday,258.14,0,0,90,Snow,light snow,1/13/2016,10:00,AM,4222,105
No Holiday,258.14,0,0,90,Haze,haze,1/13/2016,10:00,AM,4222,105
No Holiday,263.22,0,0,75,Haze,haze,1/13/2016,10:00,PM,1587,111
No Holiday,263.22,0,0,75,Mist,mist,1/13/2016,10:00,PM,1587,111
No Holiday,263.08,0,0,1,Haze,haze,1/13/2016,11:00,PM,1049,111
No Holiday,263.08,0,0,1,Mist,mist,1/13/2016,11:00,PM,1049,111
No Holiday,264.22,0,0,40,Haze,haze,1/14/2016,1:00,AM,351,112
No Holiday,264.22,0,0,40,Mist,mist,1/14/2016,1:00,AM,351,112
No Holiday,265.08,0,0,75,Mist,mist,1/14/2016,4:00,AM,835,113
No Holiday,265.08,0,0,75,Haze,haze,1/14/2016,4:00,AM,835,113
No Holiday,265.65,0,0,40,Haze,haze,1/14/2016,8:00,AM,5714,115
No Holiday,265.65,0,0,40,Mist,mist,1/14/2016,8:00,AM,5714,115
No Holiday,266.08,0,0,90,Haze,haze,1/14/2016,10:00,AM,4297,116
No Holiday,266.08,0,0,90,Mist,mist,1/14/2016,10:00,AM,4297,116
No Holiday,268.08,0,0,90,Haze,haze,1/14/2016,12:00,PM,4754,117
No Holiday,268.08,0,0,90,Mist,mist,1/14/2016,12:00,PM,4754,117
No Holiday,269.51,0,0,90,Haze,haze,1/14/2016,2:00,PM,5462,118
No Holiday,269.51,0,0,90,Mist,mist,1/14/2016,2:00,PM,5462,118
No Holiday,269.58,0,0,90,Haze,haze,1/14/2016,4:00,PM,6713,119
No Holiday,269.58,0,0,90,Mist,mist,1/14/2016,4:00,PM,6713,119
No Holiday,269.15,0,0,90,Mist,mist,1/14/2016,6:00,PM,4437,120
No Holiday,269.15,0,0,90,Haze,haze,1/14/2016,6:00,PM,4437,120
No Holiday,269.22,0,0,90,Mist,mist,1/14/2016,8:00,PM,2826,121
No Holiday,269.22,0,0,90,Haze,haze,1/14/2016,8:00,PM,2826,121
No Holiday,268.94,0,0,75,Haze,haze,1/14/2016,10:00,PM,1871,122
No Holiday,268.94,0,0,75,Mist,mist,1/14/2016,10:00,PM,1871,122
No Holiday,268.58,0,0,90,Mist,mist,1/15/2016,12:00,AM,753,123
No Holiday,268.58,0,0,90,Haze,haze,1/15/2016,12:00,AM,753,123
No Holiday,268.58,0,0,90,Snow,light snow,1/15/2016,12:00,AM,753,123
No Holiday,268.29,0,0,90,Mist,mist,1/15/2016,1:00,AM,481,123
No Holiday,267.58,0,0,90,Mist,mist,1/15/2016,4:00,AM,829,124
No Holiday,267.58,0,0,90,Snow,light snow,1/15/2016,4:00,AM,829,124
No Holiday,267.58,0,0,90,Haze,haze,1/15/2016,4:00,AM,829,124
No Holiday,267.22,0,0,90,Mist,mist,1/15/2016,6:00,AM,5394,125
No Holiday,267.22,0,0,90,Snow,light snow,1/15/2016,6:00,AM,5394,125
No Holiday,267.01,0,0,90,Mist,mist,1/15/2016,8:00,AM,5502,126
No Holiday,267.01,0,0,90,Snow,light snow,1/15/2016,8:00,AM,5502,126
No Holiday,262.86,0,0,90,Clouds,overcast clouds,1/15/2016,10:00,PM,3324,133
No Holiday,262.01,0,0,90,Clouds,overcast clouds,1/15/2016,11:00,PM,1700,133
No Holiday,261.73,0,0,90,Clouds,overcast clouds,1/16/2016,12:00,AM,1467,133
No Holiday,261.28,0,0,75,Clouds,broken clouds,1/16/2016,1:00,AM,1033,133
No Holiday,259.8,0,0,40,Clouds,scattered clouds,1/16/2016,2:00,AM,738,133
No Holiday,257.3,0,0,1,Clear,sky is clear,1/16/2016,5:00,AM,688,134
No Holiday,255.22,0,0,1,Clear,sky is clear,1/16/2016,6:00,AM,1211,134
No Holiday,254.68,0,0,40,Clouds,scattered clouds,1/16/2016,7:00,AM,1870,134
No Holiday,254.51,0,0,40,Clouds,scattered clouds,1/16/2016,8:00,AM,2603,134
No Holiday,255.22,0,0,90,Clouds,overcast clouds,1/16/2016,10:00,AM,3746,135
No Holiday,255.35,0,0,90,Snow,light snow,1/16/2016,11:00,AM,4207,135
No Holiday,255.35,0,0,90,Haze,haze,1/16/2016,11:00,AM,4207,135
No Holiday,255.51,0,0,90,Snow,light snow,1/16/2016,12:00,PM,4601,135
No Holiday,255.51,0,0,90,Haze,haze,1/16/2016,12:00,PM,4601,135
No Holiday,251.35,0,0,1,Clear,sky is clear,1/16/2016,10:00,PM,2349,140
No Holiday,250.35,0,0,1,Clear,sky is clear,1/16/2016,11:00,PM,2082,140
No Holiday,250.15,0,0,1,Clear,sky is clear,1/17/2016,12:00,AM,1065,140
No Holiday,248.75,0,0,1,Clear,sky is clear,1/17/2016,2:00,AM,644,141
No Holiday,248.41,0,0,1,Clear,sky is clear,1/17/2016,3:00,AM,343,141
No Holiday,248.28,0,0,90,Haze,haze,1/17/2016,4:00,AM,466,141
No Holiday,247.68,0,0,40,Clouds,scattered clouds,1/17/2016,6:00,AM,929,142
No Holiday,247.15,0,0,1,Clear,sky is clear,1/17/2016,7:00,AM,1430,142
No Holiday,247.15,0,0,1,Clear,sky is clear,1/17/2016,8:00,AM,1988,142
No Holiday,248.68,0,0,5,Clear,sky is clear,1/17/2016,9:00,AM,2524,142
No Holiday,249.29,0,0,1,Clear,sky is clear,1/17/2016,10:00,AM,2857,142
No Holiday,251.15,0,0,1,Clear,sky is clear,1/17/2016,11:00,AM,3172,142
No Holiday,252.88,0,0,5,Clear,sky is clear,1/17/2016,1:00,PM,3954,143
No Holiday,253.44,0,0,1,Clear,sky is clear,1/17/2016,2:00,PM,3746,143
No Holiday,250.87,0,0,1,Clear,sky is clear,1/17/2016,10:00,PM,1284,147
No Holiday,249.93,0,0,1,Clear,sky is clear,1/17/2016,11:00,PM,977,147
No Holiday,249.35,0,0,1,Clear,sky is clear,1/18/2016,1:00,AM,335,148
No Holiday,248.62,0,0,1,Clear,sky is clear,1/18/2016,2:00,AM,263,148
No Holiday,248.08,0,0,1,Clear,sky is clear,1/18/2016,5:00,AM,2124,149
No Holiday,248.28,0,0,90,Clouds,overcast clouds,1/18/2016,6:00,AM,4199,149
No Holiday,248.68,0,0,90,Clouds,overcast clouds,1/18/2016,7:00,AM,4193,149
No Holiday,249.65,0,0,90,Clouds,overcast clouds,1/18/2016,8:00,AM,3497,149
No Holiday,250.41,0,0,90,Clouds,overcast clouds,1/18/2016,9:00,AM,3709,149
No Holiday,252.14,0,0,90,Clouds,overcast clouds,1/18/2016,11:00,AM,3919,150
No Holiday,254.54,0,0,90,Clouds,overcast clouds,1/18/2016,12:00,PM,4133,150
No Holiday,259.5,0,0,90,Snow,light snow,1/19/2016,8:00,PM,2660,166
No Holiday,259.58,0,0,90,Snow,light snow,1/19/2016,9:00,PM,2388,166
No Holiday,260.01,0,0,90,Snow,light snow,1/20/2016,1:00,AM,319,168
No Holiday,260.5,0,0,90,Snow,light snow,1/20/2016,2:00,AM,254,168
No Holiday,260.5,0,0,90,Mist,mist,1/20/2016,2:00,AM,254,168
No Holiday,260.48,0,0,90,Snow,light snow,1/20/2016,3:00,AM,345,168
No Holiday,260.48,0,0,90,Mist,mist,1/20/2016,3:00,AM,345,168
No Holiday,261.82,0,0,90,Mist,mist,1/20/2016,7:00,AM,5705,170
No Holiday,261.82,0,0,90,Snow,light snow,1/20/2016,7:00,AM,5705,170
No Holiday,262.65,0,0,90,Snow,light snow,1/20/2016,9:00,AM,5122,171
No Holiday,262.65,0,0,90,Mist,mist,1/20/2016,9:00,AM,5122,171
No Holiday,264.08,0,0,90,Snow,light snow,1/20/2016,10:00,AM,4402,171
No Holiday,264.08,0,0,90,Haze,haze,1/20/2016,10:00,AM,4402,171
No Holiday,264.08,0,0,90,Mist,mist,1/20/2016,10:00,AM,4402,171
No Holiday,265.36,0,0,90,Haze,haze,1/20/2016,12:00,PM,4688,172
No Holiday,265.36,0,0,90,Mist,mist,1/20/2016,12:00,PM,4688,172
No Holiday,265.36,0,0,90,Snow,light snow,1/20/2016,12:00,PM,4688,172
No Holiday,266.15,0,0,90,Mist,mist,1/20/2016,1:00,PM,4740,172
No Holiday,266.15,0,0,90,Haze,haze,1/20/2016,1:00,PM,4740,172
No Holiday,266.58,0,0,90,Haze,haze,1/20/2016,3:00,PM,5661,173
No Holiday,266.58,0,0,90,Mist,mist,1/20/2016,3:00,PM,5661,173
No Holiday,266.76,0,0,90,Mist,mist,1/20/2016,5:00,PM,6494,174
No Holiday,266.76,0,0,90,Haze,haze,1/20/2016,5:00,PM,6494,174
No Holiday,266.86,0,0,90,Haze,haze,1/20/2016,7:00,PM,3183,175
No Holiday,266.86,0,0,90,Snow,light snow,1/20/2016,7:00,PM,3183,175
No Holiday,267.08,0,0,75,Haze,haze,1/20/2016,11:00,PM,1017,177
No Holiday,267.08,0,0,75,Mist,mist,1/20/2016,11:00,PM,1017,177
No Holiday,267.15,0,0,90,Mist,mist,1/21/2016,12:00,AM,539,177
No Holiday,267.15,0,0,90,Haze,haze,1/21/2016,12:00,AM,539,177
No Holiday,267.22,0,0,90,Haze,haze,1/21/2016,1:00,AM,335,177
No Holiday,267.22,0,0,90,Mist,mist,1/21/2016,1:00,AM,335,177
No Holiday,267.39,0,0,90,Mist,mist,1/21/2016,3:00,AM,319,178
No Holiday,267.39,0,0,90,Haze,haze,1/21/2016,3:00,AM,319,178
No Holiday,267.57,0,0,90,Haze,haze,1/21/2016,4:00,AM,874,178
No Holiday,267.57,0,0,90,Mist,mist,1/21/2016,4:00,AM,874,178
No Holiday,267.58,0,0,90,Haze,haze,1/21/2016,7:00,AM,6227,179
No Holiday,267.58,0,0,90,Mist,mist,1/21/2016,7:00,AM,6227,179
No Holiday,267.5,0,0,90,Mist,mist,1/21/2016,9:00,AM,4823,180
No Holiday,267.5,0,0,90,Haze,haze,1/21/2016,9:00,AM,4823,180
No Holiday,267.5,0,0,90,Snow,light snow,1/21/2016,9:00,AM,4823,180
No Holiday,267.8,0,0,90,Mist,mist,1/21/2016,11:00,AM,4545,181
No Holiday,267.8,0,0,90,Haze,haze,1/21/2016,11:00,AM,4545,181
No Holiday,267.8,0,0,90,Snow,light snow,1/21/2016,11:00,AM,4545,181
No Holiday,267.79,0,0,90,Haze,haze,1/21/2016,12:00,PM,4906,181
No Holiday,267.79,0,0,90,Mist,mist,1/21/2016,12:00,PM,4906,181
No Holiday,267.79,0,0,90,Snow,light snow,1/21/2016,12:00,PM,4906,181
No Holiday,267.68,0,0,90,Haze,haze,1/21/2016,2:00,PM,5246,182
No Holiday,267.68,0,0,90,Mist,mist,1/21/2016,2:00,PM,5246,182
No Holiday,267.68,0,0,90,Snow,light snow,1/21/2016,2:00,PM,5246,182
No Holiday,267.22,0,0,90,Mist,mist,1/21/2016,4:00,PM,6708,183
